Category,Country,Region,Site_Name,Year,Danger,Longitude,Latitude,Area,Age,Area_Category,Danger_Status,Decade
Natural,United States of America,Europe and North America,Yellowstone National Park,1978,0,-110.82778,44.46056,898349.0,48,Large,Safe,1970
Cultural,United States of America,Europe and North America,Mesa Verde National Park,1978,0,-108.4855556,37.26166667,21043.0,48,Medium,Safe,1970
Cultural,Canada,Europe and North America,L’Anse aux Meadows National Historic Site,1978,0,-55.61666667,51.46666667,7991.0,48,Small,Safe,1970
Natural,Canada,Europe and North America,Nahanni National Park,1978,0,-125.5894444,61.54722222,476560.0,48,Large,Safe,1970
Cultural,Germany,Europe and North America,Aachen Cathedral ,1978,0,6.084444444,50.77444444,0.2,48,Small,Safe,1970
Cultural,Ethiopia,Africa,"Rock-Hewn Churches, Lalibela",1978,0,39.04042,12.02935,0.0,48,Small,Safe,1970
Natural,Ethiopia,Africa,Simien National Park,1978,0,38.06666667,13.18333333,13600.0,48,Medium,Safe,1970
Cultural,Senegal,Africa,Island of Gorée,1978,0,-17.40083,14.66722,0.0,48,Small,Safe,1970
Natural,Ecuador,Latin America and the Caribbean,Galápagos Islands,1978,0,-91.0,-0.81667,14066514.0,48,Large,Safe,1970
Cultural,Ecuador,Latin America and the Caribbean,City of Quito,1978,0,-78.5,-0.003888889,320.0,48,Small,Safe,1970
Cultural,Poland,Europe and North America,Historic Centre of Kraków,1978,0,19.93722222,50.06138889,149.65,48,Small,Safe,1970
Cultural,Poland,Europe and North America,Wieliczka and Bochnia Royal Salt Mines,1978,0,20.06388889,49.97916667,1104.947,48,Small,Safe,1970
Cultural,Guatemala,Latin America and the Caribbean,Antigua Guatemala,1979,0,-90.66666667,14.56666667,0.0,47,Small,Safe,1970
Natural,United States of America,Europe and North America,Grand Canyon National Park,1979,0,-112.0905556,36.10083333,493270.0,47,Large,Safe,1970
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Tchogha Zanbil,1979,0,48.53333333,32.0833,0.0,47,Small,Safe,1970
Cultural,Iran (Islamic Republic of),Asia and the Pacific,"Meidan Emam, Esfahan",1979,0,51.67777778,32.65745,0.0,47,Small,Safe,1970
Cultural,Tunisia,Arab States,Amphitheatre of El Jem,1979,0,10.70694,35.29639,1.37,47,Small,Safe,1970
Cultural,Syrian Arab Republic,Arab States,Ancient City of Damascus,1979,1,36.30639,33.51139,86.12,47,Small,In Danger,1970
Natural,Nepal,Asia and the Pacific,Sagarmatha National Park,1979,0,86.91306,27.96528,124400.0,47,Large,Safe,1970
Cultural,Norway,Europe and North America,Bryggen,1979,0,5.32306,60.39722,1.196,47,Small,Safe,1970
Cultural,Nepal,Asia and the Pacific,Kathmandu Valley ,1979,0,85.30858,27.70395,167.37,47,Small,Safe,1970
Cultural,Bulgaria,Europe and North America,Thracian Tomb of Kazanlak,1979,0,25.4,42.61666667,0.0155,47,Small,Safe,1970
Natural,Canada,Europe and North America,Dinosaur Provincial Park,1979,0,-111.4922222,50.76777778,7825.0,47,Small,Safe,1970
